Name,Ratings,Comment,Descriptions
"samsungs23fe","PUTTA HARISH","5","Super!","Very good quality glass"
"samsungs23fe","Mr.Tarun","5","Classy product","Edge to edge fitting perfectly for Samsung galaxy S23 FE"
"samsungs23fe","Chandrakala (tarun)","5","Just wow!","Glass quality is good."
"samsungs23fe","Prashant  Singh","4","Good choice","Perfect fit..."
"samsungs23fe","Khan Uk","5","Super!","The product is 👍"
"samsungs23fe","Flipkart Customer","5","Worth every penny","Product is good but finger print doesn't work properly on your phone after apply this"
"samsungs23fe","Amit Maurya","5","Wonderful","Perfect fit for samsung s23 fe. Best quality."
"samsungs23fe","Faizan Pathan","1","Unsatisfactory","Wrost"
"samsungs23fe","Chinnathurai M","4","Worth the money","Nice product"
"samsungs23fe","Arghyadeep Pan","5","Highly recommended","Product is good 👍 and it is so easy to apply on screen"
